"","error_rate","red","green","blue"
"118",0.000916265391100031,70.34,23.7,99.87
"119",0.000917231281785239,70.36,23.8,99.98
"120",0.000918198190674153,70.38,23.9,100.09
"121",0.000919166118840122,70.4,24,100.2
"122",0.000920135067357626,70.42,24.1,100.31
"123",0.000921105037302281,70.44,24.2,100.42
"124",0.000922076029750835,70.46,24.3,100.53
"125",0.000923048045781171,70.48,24.4,100.64
"126",0.000924021086472307,70.5,24.5,100.75
"127",0.000924995152904401,70.52,24.6,100.86
"128",0.000925970246158749,70.54,24.7,100.97
"129",0.000926946367317785,70.56,24.8,101.08
"130",0.000927923517465086,70.58,24.9,101.19
"131",0.000928901697685371,70.6,25,101.3
"132",0.000929880909064502,70.62,25.1,101.41
"133",0.000930861152689486,70.64,25.2,101.52
"134",0.000931842429648475,70.66,25.3,101.63
"135",0.000932824741030769,70.68,25.4,101.74
"136",0.000933808087926816,70.7,25.5,101.85
"137",0.000934792471428215,70.72,25.6,101.96
"138",0.000935777892627712,70.74,25.7,102.07
"139",0.000936764352619209,70.76,25.8,102.18
"140",0.000937751852497759,70.78,25.9,102.29
"141",0.00093874039335957,70.8,26,102.4
"142",0.000939729976302003,70.82,26.1,102.51
"143",0.000940720602423582,70.84,26.2,102.62
"144",0.000941712272823982,70.86,26.3,102.73
"145",0.000942704988604042,70.88,26.4,102.84
"146",0.000943698750865758,70.9,26.5,102.95
"147",0.000944693560712292,70.92,26.6,103.06
"148",0.000945689419247965,70.94,26.7,103.17
"149",0.000946686327578264,70.96,26.8,103.28
"150",0.000947684286809841,70.98,26.9,103.39
"151",0.000948683298050514,71,27,103.5
"152",0.000949683362409269,71.02,27.1,103.61
"153",0.000950684480996262,71.04,27.2,103.72
"154",0.000951686654922819,71.06,27.3,103.83
"155",0.000952689885301437,71.08,27.4,103.94
"156",0.000953694173245785,71.1,27.5,104.05
"157",0.000954699519870708,71.12,27.6,104.16
"158",0.000955705926292225,71.14,27.7,104.27
"159",0.000956713393627531,71.16,27.8,104.38
"160",0.000957721922994999,71.18,27.9,104.49
"161",0.000958731515514183,71.2,28,104.6
"162",0.000959742172305813,71.22,28.1,104.71
"163",0.000960753894491805,71.24,28.2,104.82
"164",0.000961766683195254,71.26,28.3,104.93
"165",0.000962780539540442,71.28,28.4,105.04
"166",0.000963795464652834,71.3,28.5,105.15
"167",0.000964811459659081,71.32,28.6,105.26
"168",0.000965828525687023,71.34,28.7,105.37
"169",0.00096684666386569,71.36,28.8,105.48
"170",0.0009678658753253,71.38,28.9,105.59
"171",0.000968886161197263,71.4,29,105.7
"172",0.000969907522614183,71.42,29.1,105.81
"173",0.000970929960709855,71.44,29.2,105.92
"174",0.000971953476619273,71.46,29.3,106.03
"175",0.000972978071478625,71.48,29.4,106.14
"176",0.000974003746425297,71.5,29.5,106.25
"177",0.000975030502597874,71.52,29.6,106.36
"178",0.000976058341136142,71.54,29.7,106.47
"179",0.000977087263181088,71.56,29.8,106.58
"180",0.000978117269874902,71.58,29.9,106.69
"181",0.000979148362360977,71.6,30,106.8
"182",0.000980180541783913,71.62,30.1,106.91
"183",0.000981213809289516,71.64,30.2,107.02
"184",0.000982248166024799,71.66,30.3,107.13
"185",0.000983283613137985,71.68,30.4,107.24
"186",0.000984320151778507,71.7,30.5,107.35
"187",0.000985357783097011,71.72,30.6,107.46
"188",0.000986396508245353,71.74,30.7,107.57
"189",0.000987436328376607,71.76,30.8,107.68
"190",0.000988477244645059,71.78,30.9,107.79
"191",0.000989519258206214,71.8,31,107.9
"192",0.000990562370216795,71.82,31.1,108.01
"193",0.000991606581834744,71.84,31.2,108.12
"194",0.000992651894219223,71.86,31.3,108.23
"195",0.000993698308530616,71.88,31.4,108.34
"196",0.000994745825930531,71.9,31.5,108.45
"197",0.000995794447581801,71.92,31.6,108.56
"198",0.000996844174648483,71.94,31.7,108.67
"199",0.000997895008295863,71.96,31.8,108.78
"200",0.000998946949690454,71.98,31.9,108.89
"201",0.001,72,32,109
"202",0.00100695555005672,71.9,32.64,109.32
"203",0.00101395947979003,71.8,33.28,109.64
"204",0.00102101212570719,71.7,33.92,109.96
"205",0.00102811382665607,71.6,34.56,110.28
"206",0.00103526492384138,71.5,35.2,110.6
"207",0.00104246576084112,71.4,35.84,110.92
"208",0.00104971668362307,71.3,36.48,111.24
