"","error_rate","red","green","blue"
"1",8e-04,67,8,86
"2",9e-04,70,22,98
"3",0.001,72,32,109
"4",0.002,62,96,141
"5",0.003,59,127,142
"6",0.004,60,149,138
"7",0.005,65,167,130
"8",0.006,77,181,118
"9",0.007,93,192,105
"10",0.008,111,201,90
"11",0.009,128,208,75
"12",0.01,148,213,58
"13",0.017,250,230,0
